job_id,job_title, salary_usd ,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00508,AI Architect,"72,605",Entry level,CT,France,Mid Cap Companies,France,0,"GCP, Scala, Java, SQL, Deep Learning",PhD,0,Consulting,10-08-2024,23-09-2024,1862,6,Advanced Robotics
AI00518,AI Architect,"61,352",Mid level,CT,Japan,Mid Cap Companies,Japan,100,"Git, Python, NLP, Linux",Master,3,Technology,25-04-2025,24-06-2025,1942,6,TechCorp Inc
AI00562,AI Architect,"2,23,289",Executive,FT,Norway,large Cap Companies,Germany,0,"Java, Deep Learning, Tableau, Scala, TensorFlow",Associate,14,Gaming,19-03-2025,23-04-2025,1504,8,Autonomous Tech
AI00572,AI Architect,"3,13,205",Executive,FT,Norway,large Cap Companies,Norway,50,"Kubernetes, AWS, Scala, Spark",Associate,12,Gaming,18-02-2024,11-04-2024,1946,7,Cloud AI Solutions
AI00573,AI Architect,"83,357",Mid level,PT,Sweden,large Cap Companies,Sweden,50,"Git, Mathematics, Tableau, Hadoop",PhD,4,Healthcare,28-07-2024,10-09-2024,2143,5,Advanced Robotics
AI00601,AI Architect,"73,822",Mid level,FT,India,Mid Cap Companies,India,0,"Python, Linux, Hadoop",PhD,3,Automotive,19-08-2024,29-10-2024,531,7,Digital Transformation LLC
AI00605,AI Architect,"1,46,023",Senior level,FT,United States,Mid Cap Companies,United States,50,"Python, Docker, SQL, AWS, Scala",PhD,5,Finance,02-09-2024,10-10-2024,2193,6,Future Systems
AI00611,AI Architect,"1,40,104",Mid level,CT,Norway,Mid Cap Companies,Norway,100,"Deep Learning, PyTorch, Tableau",PhD,2,Consulting,28-01-2024,16-03-2024,1858,9,Algorithmic Solutions
AI00616,AI Architect,"65,919",Senior level,FT,India,Small Cap Companies,India,50,"Kubernetes, SQL, MLOps, GCP, Docker",PhD,7,Telecommunications,12-01-2024,09-03-2024,2098,8,Advanced Robotics
AI00624,AI Architect,"70,128",Entry level,CT,Sweden,Mid Cap Companies,Sweden,100,"Scala, SQL, GCP, TensorFlow",Associate,0,Healthcare,07-09-2024,07-10-2024,931,7,AI Innovations
AI00647,AI Architect,"54,457",Mid level,FL,South Korea,Small Cap Companies,Finland,50,"Azure, Mathematics, R",Master,4,Government,06-08-2024,20-08-2024,909,6,Algorithmic Solutions
AI00653,AI Architect,"2,22,869",Executive,CT,Canada,Mid Cap Companies,Israel,100,"Hadoop, SQL, Computer Vision",Master,14,Gaming,07-02-2025,28-02-2025,524,7,Autonomous Tech
AI00694,AI Architect,"1,17,354",Senior level,FL,France,Small Cap Companies,France,0,"SQL, PyTorch, Deep Learning, Tableau",PhD,8,Telecommunications,15-04-2025,29-04-2025,2251,5,Cloud AI Solutions
AI00699,AI Architect,"77,553",Senior level,CT,South Korea,Mid Cap Companies,South Korea,100,"PyTorch, GCP, Kubernetes, Spark",Bachelor,5,Media,26-08-2024,07-10-2024,2268,7,Predictive Systems
AI00703,AI Architect,"59,027",Mid level,CT,South Korea,large Cap Companies,South Korea,0,"Git, R, Python, Mathematics, Kubernetes",Master,3,Gaming,26-08-2024,01-11-2024,1042,10,AI Innovations
AI00763,AI Architect,"66,276",Mid level,CT,Finland,Small Cap Companies,India,50,"Linux, Python, Mathematics",Bachelor,4,Gaming,18-01-2025,01-04-2025,575,6,Quantum Computing Inc
AI00840,AI Architect,"82,655",Mid level,CT,India,large Cap Companies,Finland,0,"SQL, Linux, Java, PyTorch",PhD,4,Finance,12-06-2024,01-08-2024,720,9,Cloud AI Solutions
AI00845,AI Architect,"59,833",Mid level,PT,India,Small Cap Companies,India,0,"Hadoop, Spark, Docker",Master,3,Real Estate,27-02-2024,23-04-2024,1738,8,DeepTech Ventures
AI00858,AI Architect,"73,628",Entry level,FT,United States,Small Cap Companies,United States,0,"Computer Vision, Spark, NLP, Azure, Python",Bachelor,0,Energy,28-02-2024,29-04-2024,2019,7,Digital Transformation LLC
AI00874,AI Architect,"1,22,818",Executive,CT,Ireland,Mid Cap Companies,Ireland,0,"AWS, SQL, Linux, Tableau, Kubernetes",Bachelor,10,Education,01-03-2025,26-04-2025,591,7,Digital Transformation LLC
AI00885,AI Architect,"83,080",Senior level,PT,Finland,Small Cap Companies,Finland,0,"SQL, Kubernetes, Tableau, Computer Vision, Python",Master,5,Energy,25-11-2024,25-01-2025,1676,7,Autonomous Tech
AI00896,AI Architect,"1,66,781",Executive,PT,Canada,Small Cap Companies,United States,100,"Statistics, Kubernetes, Tableau, Mathematics, NLP",Associate,19,Healthcare,08-12-2024,21-01-2025,1938,7,Neural Networks Co
AI00921,AI Architect,"95,775",Executive,CT,Finland,Small Cap Companies,Finland,50,"AWS, Linux, Tableau, Azure, Kubernetes",Bachelor,19,Transportation,20-11-2024,13-01-2025,1857,5,DataVision Ltd
AI00928,AI Architect,"2,51,524",Executive,PT,United Kingdom,Small Cap Companies,United Kingdom,100,"Python, Git, Linux, NLP",Master,14,Technology,15-10-2024,08-11-2024,519,8,Cloud AI Solutions
AI00932,AI Architect,"1,09,842",Entry level,PT,United Kingdom,large Cap Companies,India,50,"Hadoop, AWS, Git, Scala, PyTorch",Associate,1,Government,30-11-2024,23-12-2024,2352,7,Advanced Robotics
AI00951,AI Architect,"72,300",Senior level,CT,India,Mid Cap Companies,India,0,"Python, MLOps, SQL, Hadoop, GCP",Master,8,Technology,10-11-2024,25-12-2024,1910,7,TechCorp Inc
AI00964,AI Architect,"46,549",Mid level,PT,Japan,Small Cap Companies,Japan,100,"MLOps, GCP, PyTorch, Linux, Hadoop",Master,4,Automotive,21-01-2025,25-02-2025,1980,9,Advanced Robotics
AI00968,AI Architect,"1,40,234",Senior level,CT,United States,large Cap Companies,Denmark,0,"Tableau, Java, Computer Vision",Associate,6,Government,25-05-2024,12-06-2024,938,6,Future Systems
AI00976,AI Architect,"2,11,117",Executive,FT,Denmark,Small Cap Companies,Denmark,0,"Kubernetes, Git, Linux, Deep Learning, GCP",Bachelor,12,Media,24-11-2024,05-02-2025,649,8,DataVision Ltd
AI01027,AI Architect,"1,72,093",Executive,FT,Japan,Mid Cap Companies,Japan,0,"SQL, TensorFlow, MLOps, Computer Vision",Master,10,Energy,23-05-2024,27-06-2024,2317,9,Autonomous Tech
AI01039,AI Architect,"3,34,614",Executive,CT,Norway,large Cap Companies,Norway,50,"Data Visualization, Scala, Computer Vision",Master,19,Technology,19-01-2024,24-02-2024,1451,5,Digital Transformation LLC
AI01061,AI Architect,"2,68,218",Executive,FL,Norway,Mid Cap Companies,Norway,50,"PyTorch, Scala, Deep Learning, Mathematics",Associate,10,Media,17-10-2024,17-11-2024,1119,9,Cloud AI Solutions
AI01086,AI Architect,"3,06,862",Executive,FL,Norway,large Cap Companies,Netherlands,0,"Python, Scala, AWS, Docker, Linux",Associate,12,Real Estate,18-04-2024,22-05-2024,2305,7,TechCorp Inc
AI01094,AI Architect,"1,29,639",Senior level,PT,Sweden,large Cap Companies,Sweden,50,"Deep Learning, Java, SQL",Master,5,Telecommunications,12-01-2025,28-01-2025,784,8,Algorithmic Solutions
AI01099,AI Architect,"1,11,283",Mid level,CT,Netherlands,large Cap Companies,Netherlands,0,"Azure, Tableau, Python",Associate,3,Consulting,21-04-2024,20-06-2024,1573,9,Smart Analytics
AI01143,AI Architect,"1,04,470",Mid level,FL,France,Small Cap Companies,France,100,"R, MLOps, Spark",Bachelor,2,Retail,11-01-2025,08-03-2025,1266,8,Quantum Computing Inc
AI01146,AI Architect,"2,14,739",Executive,PT,Netherlands,Small Cap Companies,Netherlands,0,"Python, Azure, SQL, NLP, Java",Master,12,Energy,16-04-2024,21-06-2024,1511,6,DataVision Ltd
AI01162,AI Architect,"1,91,681",Senior level,FT,United States,large Cap Companies,United States,50,"Docker, Hadoop, Python, Linux, TensorFlow",Bachelor,7,Energy,01-10-2024,08-11-2024,1761,9,Smart Analytics
AI01182,AI Architect,"42,732",Entry level,FL,Ireland,large Cap Companies,Ireland,0,"AWS, Python, Azure, Statistics",Master,0,Energy,26-04-2024,10-06-2024,1351,10,TechCorp Inc
AI01194,AI Architect,"1,22,274",Mid level,PT,Switzerland,large Cap Companies,Switzerland,50,"Docker, SQL, NLP, PyTorch, Kubernetes",Master,2,Manufacturing,24-12-2024,24-02-2025,1908,9,Smart Analytics
AI01195,AI Architect,"78,303",Senior level,FT,Austria,Mid Cap Companies,Austria,0,"Hadoop, Scala, Azure, Computer Vision, Python",Bachelor,6,Telecommunications,20-10-2024,07-12-2024,1889,7,TechCorp Inc
AI01197,AI Architect,"1,20,739",Senior level,FT,Canada,large Cap Companies,Canada,0,"Python, Linux, Spark, SQL, Statistics",PhD,9,Transportation,09-08-2024,15-09-2024,2286,5,Machine Intelligence Group
AI01223,AI Architect,"1,85,576",Executive,CT,Australia,Small Cap Companies,Australia,100,"Scala, Git, Python, Spark, SQL",Master,10,Education,05-06-2024,19-07-2024,1766,7,Advanced Robotics
AI01227,AI Architect,"58,841",Entry level,PT,Israel,large Cap Companies,India,50,"Spark, PyTorch, Python, GCP",Master,1,Transportation,05-09-2024,09-10-2024,2170,7,Cloud AI Solutions
AI01286,AI Architect,"1,30,884",Senior level,FT,Sweden,large Cap Companies,Sweden,50,"TensorFlow, Linux, NLP, Git",Master,6,Media,24-12-2024,20-01-2025,682,5,Predictive Systems
AI01296,AI Architect,"92,965",Mid level,CT,Australia,Small Cap Companies,Australia,100,"Spark, Computer Vision, SQL",Bachelor,4,Real Estate,03-04-2024,23-05-2024,695,7,Future Systems
AI01320,AI Architect,"1,90,447",Senior level,PT,United States,large Cap Companies,United States,0,"GCP, Linux, Kubernetes, Scala, Azure",Bachelor,7,Energy,21-03-2024,03-05-2024,1669,9,Cognitive Computing
AI01321,AI Architect,"75,958",Entry level,CT,Sweden,Mid Cap Companies,Sweden,100,"SQL, PyTorch, Linux",PhD,0,Telecommunications,22-03-2024,02-05-2024,895,9,Digital Transformation LLC
AI01329,AI Architect,"1,57,517",Executive,FT,Japan,Mid Cap Companies,Japan,0,"AWS, PyTorch, TensorFlow, Linux",PhD,18,Government,19-03-2025,29-05-2025,709,9,Smart Analytics
AI01343,AI Architect,"1,62,174",Senior level,PT,Netherlands,Mid Cap Companies,Netherlands,0,"Scala, Java, Mathematics",Bachelor,8,Transportation,16-05-2024,10-07-2024,1133,8,TechCorp Inc
AI01385,AI Architect,"82,104",Mid level,CT,Germany,Small Cap Companies,Germany,100,"SQL, PyTorch, AWS, Java",Associate,3,Retail,18-06-2024,27-07-2024,528,7,Algorithmic Solutions
AI01400,AI Architect,"1,56,172",Executive,FT,Finland,Small Cap Companies,Finland,100,"Kubernetes, Java, Azure, GCP",Associate,10,Consulting,03-09-2024,01-10-2024,585,8,AI Innovations
AI01427,AI Architect,"1,56,224",Executive,CT,Ireland,Small Cap Companies,Ireland,100,"Deep Learning, Spark, Data Visualization",Bachelor,14,Gaming,25-06-2024,19-08-2024,1573,8,Future Systems
AI01454,AI Architect,"1,97,656",Executive,PT,United States,Mid Cap Companies,United States,0,"Spark, R, Java, Hadoop",Associate,13,Automotive,15-12-2024,30-12-2024,922,7,Cognitive Computing
AI01478,AI Architect,"95,250",Mid level,FL,Singapore,Mid Cap Companies,Singapore,0,"Mathematics, MLOps, Hadoop, Docker",Master,4,Energy,30-03-2024,10-06-2024,2061,8,DataVision Ltd
AI01542,AI Architect,"54,769",Entry level,FT,Austria,Mid Cap Companies,Norway,0,"Scala, GCP, SQL, Python",Associate,1,Telecommunications,15-12-2024,28-01-2025,938,10,TechCorp Inc
AI01549,AI Architect,"58,188",Mid level,CT,Finland,Mid Cap Companies,Finland,50,"Java, NLP, Python, Azure, Linux",Master,3,Technology,26-08-2024,20-10-2024,968,6,DataVision Ltd
AI01586,AI Architect,"91,668",Senior level,CT,India,Mid Cap Companies,India,0,"SQL, Kubernetes, PyTorch",Bachelor,9,Consulting,15-03-2025,17-05-2025,1344,6,Smart Analytics
AI01596,AI Architect,"1,02,210",Mid level,FT,Germany,Mid Cap Companies,Finland,100,"Mathematics, Kubernetes, Python",Associate,3,Government,07-05-2024,03-06-2024,1468,9,Future Systems
AI01606,AI Architect,"1,47,573",Executive,FT,Finland,Small Cap Companies,United States,100,"GCP, SQL, Python, Mathematics, Scala",Master,10,Media,23-03-2024,29-04-2024,795,9,Advanced Robotics
AI01626,AI Architect,"53,477",Entry level,PT,Japan,large Cap Companies,Japan,0,"Python, Git, Docker",Associate,1,Media,22-11-2024,09-01-2025,678,9,Cloud AI Solutions
AI01635,AI Architect,"71,083",Entry level,FT,United Kingdom,Mid Cap Companies,United Kingdom,50,"Tableau, Python, Java, Linux, Data Visualization",Bachelor,0,Automotive,21-02-2024,19-03-2024,2242,6,DeepTech Ventures
AI01638,AI Architect,"91,491",Mid level,PT,France,Small Cap Companies,France,0,"AWS, Python, Computer Vision, Kubernetes, Data Visualization",Associate,2,Consulting,04-02-2025,09-03-2025,625,6,Autonomous Tech
AI01674,AI Architect,"1,35,021",Senior level,PT,Australia,Small Cap Companies,Australia,100,"Linux, SQL, Computer Vision",Master,7,Automotive,28-02-2025,11-04-2025,603,7,AI Innovations
AI01687,AI Architect,"58,030",Entry level,CT,Israel,large Cap Companies,Israel,100,"PyTorch, Java, Kubernetes, Statistics, MLOps",Associate,0,Technology,22-01-2024,16-02-2024,847,8,Future Systems
AI01696,AI Architect,"53,136",Mid level,PT,Japan,Small Cap Companies,Japan,100,"Python, Spark, NLP, R",Master,3,Technology,09-02-2024,15-03-2024,748,6,AI Innovations
AI01698,AI Architect,"2,40,150",Executive,FL,United States,Mid Cap Companies,France,50,"PyTorch, TensorFlow, Deep Learning, Tableau, GCP",Associate,11,Gaming,20-04-2024,09-05-2024,1686,7,Cloud AI Solutions
AI01771,AI Architect,"1,36,980",Executive,CT,Finland,Small Cap Companies,Finland,0,"Python, Kubernetes, Mathematics, Tableau",Bachelor,11,Retail,26-10-2024,01-01-2025,633,6,Machine Intelligence Group
AI01776,AI Architect,"68,912",Senior level,PT,China,Small Cap Companies,China,0,"GCP, Linux, Data Visualization",Associate,5,Telecommunications,07-01-2025,15-02-2025,2181,9,Future Systems
AI01816,AI Architect,"42,837",Entry level,FL,China,Small Cap Companies,China,50,"GCP, MLOps, TensorFlow",Associate,0,Telecommunications,28-03-2025,30-05-2025,1492,6,DeepTech Ventures
AI01828,AI Architect,"39,127",Entry level,PT,Israel,Mid Cap Companies,Israel,100,"Data Visualization, SQL, Hadoop, GCP, Deep Learning",Master,1,Education,08-01-2024,18-02-2024,958,6,Quantum Computing Inc
AI01835,AI Architect,"60,128",Mid level,PT,Japan,Mid Cap Companies,Japan,100,"GCP, Hadoop, AWS, Statistics, SQL",PhD,4,Automotive,02-03-2024,25-03-2024,1441,7,AI Innovations
AI01840,AI Architect,"1,99,683",Executive,CT,Sweden,Mid Cap Companies,Sweden,100,"PyTorch, TensorFlow, Mathematics",Master,16,Retail,26-04-2024,04-07-2024,2477,9,Quantum Computing Inc
AI01862,AI Architect,"58,685",Entry level,PT,Japan,large Cap Companies,Japan,0,"Tableau, Python, Docker",Master,1,Government,19-06-2024,29-08-2024,1501,6,Future Systems
AI01874,AI Architect,"63,533",Mid level,FT,South Korea,large Cap Companies,South Korea,100,"Kubernetes, SQL, NLP, AWS, Deep Learning",Bachelor,3,Real Estate,20-03-2025,27-05-2025,2281,7,AI Innovations
AI01920,AI Architect,"84,139",Senior level,FL,South Korea,Small Cap Companies,South Korea,0,"NLP, TensorFlow, Scala, Statistics, Spark",Associate,9,Transportation,20-07-2024,29-09-2024,1126,5,Neural Networks Co
AI01929,AI Architect,"82,748",Senior level,CT,South Korea,Mid Cap Companies,South Korea,0,"R, Spark, Git, Hadoop, Tableau",Associate,6,Retail,27-02-2024,09-04-2024,1751,7,Neural Networks Co
AI01931,AI Architect,"93,554",Senior level,FT,India,Mid Cap Companies,India,0,"Python, Kubernetes, Git, Azure, Statistics",Associate,9,Energy,26-11-2024,28-12-2024,2416,8,Autonomous Tech
AI01939,AI Architect,"1,52,384",Senior level,PT,Singapore,large Cap Companies,Australia,50,"PyTorch, Python, R",Master,9,Technology,01-03-2025,05-05-2025,2288,9,AI Innovations
AI01945,AI Architect,"62,393",Entry level,FT,Singapore,Small Cap Companies,Singapore,50,"Mathematics, SQL, Data Visualization",PhD,1,Telecommunications,09-12-2024,05-02-2025,1034,7,TechCorp Inc
AI01964,AI Architect,"2,40,570",Senior level,CT,Switzerland,large Cap Companies,Switzerland,0,"Azure, SQL, Data Visualization, Scala",Master,7,Technology,08-02-2025,14-04-2025,1928,9,Future Systems
AI01977,AI Architect,"1,16,310",Mid level,PT,Denmark,large Cap Companies,Denmark,0,"Git, GCP, Python, Kubernetes",PhD,2,Retail,26-02-2025,08-05-2025,2024,5,Machine Intelligence Group
AI02001,AI Architect,"1,19,975",Mid level,FL,Switzerland,large Cap Companies,Australia,100,"AWS, SQL, Python, TensorFlow",PhD,2,Retail,05-12-2024,06-02-2025,2303,6,DataVision Ltd
AI02012,AI Architect,"82,629",Mid level,PT,Germany,Small Cap Companies,Germany,0,"Python, Scala, Deep Learning, Statistics, Tableau",Associate,4,Real Estate,16-07-2024,06-09-2024,840,6,Smart Analytics
AI02038,AI Architect,"1,06,331",Mid level,FL,Germany,large Cap Companies,Norway,0,"Python, TensorFlow, Tableau, R, Linux",Associate,4,Media,30-05-2024,10-07-2024,1983,7,Cloud AI Solutions
AI02068,AI Architect,"60,005",Mid level,PT,China,Small Cap Companies,Ireland,100,"Scala, R, Python, AWS, SQL",Master,4,Healthcare,15-03-2024,04-05-2024,2004,8,Machine Intelligence Group
AI02070,AI Architect,"71,812",Mid level,CT,Canada,Mid Cap Companies,Austria,100,"Python, MLOps, Scala, Computer Vision, TensorFlow",Associate,3,Healthcare,23-01-2025,16-03-2025,2249,8,Machine Intelligence Group
AI02073,AI Architect,"1,27,345",Mid level,FT,Denmark,Mid Cap Companies,Denmark,50,"Python, Spark, Deep Learning, Java, Git",Bachelor,2,Automotive,10-09-2024,09-11-2024,1174,6,Cognitive Computing
AI02092,AI Architect,"85,133",Senior level,PT,India,Small Cap Companies,Denmark,100,"MLOps, Kubernetes, Docker",Bachelor,5,Real Estate,04-04-2024,23-04-2024,2019,8,Algorithmic Solutions
AI02107,AI Architect,"39,951",Entry level,FT,Austria,Small Cap Companies,Austria,0,"Scala, Python, MLOps, R, Java",Associate,0,Technology,27-08-2024,25-10-2024,1494,6,DataVision Ltd
AI02128,AI Architect,"1,19,199",Mid level,CT,Switzerland,large Cap Companies,Switzerland,50,"Tableau, Docker, GCP",PhD,2,Transportation,07-04-2024,15-06-2024,2290,6,Cognitive Computing
AI02151,AI Architect,"42,236",Entry level,PT,Finland,large Cap Companies,Finland,50,"MLOps, Spark, Statistics, SQL, AWS",Master,1,Gaming,20-04-2025,28-05-2025,1856,9,Algorithmic Solutions
AI02181,AI Architect,"38,864",Entry level,PT,India,Small Cap Companies,Denmark,50,"NLP, Scala, R",Master,0,Gaming,15-08-2024,13-10-2024,2495,9,Smart Analytics
AI02197,AI Architect,"86,252",Senior level,FT,Israel,large Cap Companies,Netherlands,100,"Computer Vision, Git, Kubernetes",Bachelor,5,Media,23-06-2024,05-08-2024,651,6,Quantum Computing Inc
AI02199,AI Architect,"1,39,252",Senior level,PT,United Kingdom,Small Cap Companies,United Kingdom,100,"Spark, NLP, Statistics, R",Bachelor,5,Gaming,24-10-2024,21-12-2024,905,9,DeepTech Ventures
AI02206,AI Architect,"2,11,004",Executive,FL,Denmark,Mid Cap Companies,Denmark,0,"Git, GCP, NLP, PyTorch, TensorFlow",Master,17,Healthcare,04-12-2024,09-02-2025,1113,10,Cloud AI Solutions
AI02244,AI Architect,"49,761",Entry level,CT,Austria,Mid Cap Companies,Austria,100,"R, Java, Hadoop, Data Visualization, Spark",PhD,1,Energy,25-02-2024,26-03-2024,2347,7,Neural Networks Co
AI02249,AI Architect,"76,892",Senior level,FT,China,Small Cap Companies,China,50,"Python, Data Visualization, GCP",Associate,5,Manufacturing,16-03-2024,13-04-2024,2204,9,Machine Intelligence Group
AI02263,AI Architect,"1,32,048",Executive,FL,Ireland,Small Cap Companies,Ireland,100,"Linux, Docker, Scala, SQL",PhD,14,Finance,24-08-2024,27-09-2024,1544,6,TechCorp Inc
AI02268,AI Architect,"1,25,001",Mid level,FL,Singapore,large Cap Companies,Singapore,100,"Linux, MLOps, Java",PhD,4,Real Estate,02-07-2024,07-08-2024,1658,10,Autonomous Tech
AI02301,AI Architect,"3,27,560",Executive,FT,United Kingdom,Mid Cap Companies,United Kingdom,100,"Data Visualization, Git, NLP, Kubernetes, SQL",Associate,16,Retail,29-01-2024,07-04-2024,889,7,TechCorp Inc
AI02310,AI Architect,"3,98,084",Executive,CT,Switzerland,large Cap Companies,Switzerland,100,"Python, Linux, Tableau, TensorFlow",Associate,15,Automotive,30-12-2024,20-02-2025,1979,10,Future Systems
AI02350,AI Architect,"68,484",Mid level,FL,Israel,Small Cap Companies,Austria,100,"Docker, Git, Python, Hadoop",Bachelor,4,Real Estate,28-03-2024,19-05-2024,504,7,Future Systems
AI02351,AI Architect,"49,929",Entry level,PT,Israel,Small Cap Companies,Norway,50,"Kubernetes, Python, Statistics",Associate,0,Healthcare,04-04-2025,13-05-2025,2042,7,Cognitive Computing
AI02377,AI Architect,"85,664",Senior level,FT,Israel,Mid Cap Companies,Israel,50,"MLOps, Scala, Kubernetes, AWS, Computer Vision",Master,5,Gaming,01-06-2024,09-07-2024,912,6,AI Innovations
AI02402,AI Architect,"76,677",Senior level,FT,Austria,Mid Cap Companies,Austria,50,"Hadoop, MLOps, Git",Master,7,Consulting,26-02-2025,14-03-2025,1010,7,Cognitive Computing
AI02419,AI Architect,"73,307",Senior level,PT,Ireland,Small Cap Companies,Sweden,100,"Computer Vision, Statistics, Azure",Associate,6,Manufacturing,10-03-2024,13-05-2024,979,7,Smart Analytics
AI02421,AI Architect,"1,32,511",Executive,FL,India,Small Cap Companies,India,0,"AWS, SQL, Linux, Deep Learning",Master,15,Healthcare,17-09-2024,06-10-2024,2148,9,Quantum Computing Inc
AI02435,AI Architect,"78,997",Entry level,PT,Norway,Small Cap Companies,Canada,50,"PyTorch, GCP, Spark, Kubernetes",PhD,0,Education,26-12-2024,26-01-2025,1638,7,Predictive Systems
AI02442,AI Architect,"86,003",Entry level,FT,United Kingdom,Small Cap Companies,United Kingdom,0,"Computer Vision, Kubernetes, AWS",Associate,1,Government,05-02-2024,05-03-2024,1991,9,Cognitive Computing
AI02453,AI Architect,"48,467",Entry level,FL,Israel,large Cap Companies,Israel,50,"Computer Vision, Mathematics, Scala, Java",Master,0,Transportation,18-09-2024,10-10-2024,2054,8,TechCorp Inc
AI02457,AI Architect,"1,13,326",Executive,FT,China,Small Cap Companies,China,100,"R, MLOps, Tableau, SQL",Master,18,Healthcare,02-08-2024,14-09-2024,1128,5,Cognitive Computing
AI02481,AI Architect,"1,46,369",Senior level,PT,Australia,Mid Cap Companies,Australia,50,"Deep Learning, Azure, R, Linux",Master,8,Consulting,24-11-2024,22-01-2025,2446,8,Autonomous Tech
AI02505,AI Architect,"1,85,382",Senior level,FL,Netherlands,large Cap Companies,Netherlands,0,"Scala, SQL, Tableau, Spark",Master,5,Finance,25-10-2024,15-11-2024,1835,7,DeepTech Ventures
